ticket_id,queue,text
TCK-144,risk,Risk desk scoring for client 144 sits between moderate and aggressive.
TCK-145,risk,Leverage on account 145 is too high for a conservative investment profile.
TCK-146,risk,The committee rejected aggressive risk for new client 146.
TCK-147,risk,Portfolio risk for profile 147 needs a written conservative explanation.
TCK-148,risk,Moderate risk client 148 asked to move toward a more aggressive profile.
TCK-149,risk,Failed recommendation 149 used the wrong conservative versus aggressive mapping.
TCK-150,risk,Score the investment profile for ticket 150 before approving leverage.
TCK-151,risk,Conservative profile 151 should not receive an aggressive trade.
TCK-152,risk,Risk desk scoring for client 152 sits between moderate and aggressive.
TCK-153,risk,Leverage on account 153 is too high for a conservative investment profile.
TCK-154,risk,The committee rejected aggressive risk for new client 154.
TCK-155,risk,Portfolio risk for profile 155 needs a written conservative explanation.
TCK-156,risk,Moderate risk client 156 asked to move toward a more aggressive profile.
TCK-157,risk,Failed recommendation 157 used the wrong conservative versus aggressive mapping.
TCK-158,risk,Score the investment profile for ticket 158 before approving leverage.
TCK-159,risk,Conservative profile 159 should not receive an aggressive trade.
TCK-160,risk,Risk desk scoring for client 160 sits between moderate and aggressive.
TCK-161,risk,Leverage on account 161 is too high for a conservative investment profile.
TCK-162,risk,The committee rejected aggressive risk for new client 162.
TCK-163,risk,Portfolio risk for profile 163 needs a written conservative explanation.
TCK-164,risk,Moderate risk client 164 asked to move toward a more aggressive profile.
TCK-165,risk,Failed recommendation 165 used the wrong conservative versus aggressive mapping.
TCK-166,tools,Production guardrails blocked an unsafe tool call on job 166.
TCK-167,tools,Log every tool call in production run 167 before retrying the API.
TCK-168,tools,Unsafe tool use on service 168 can harm the live billing API.
TCK-169,tools,Change 169 rejects dangerous tool calls in the production executor.
TCK-170,tools,CloudWatch fired because tool call 170 repeated more than three times.
TCK-171,tools,The executor selected an unsafe tool for production task 171.
TCK-172,tools,Guardrail policy 172 must log and reject identical production tool calls.
TCK-173,tools,Live API tool retries on incident 173 were blocked by production safety rules.
TCK-174,tools,Production guardrails blocked an unsafe tool call on job 174.
TCK-175,tools,Log every tool call in production run 175 before retrying the API.
TCK-176,tools,Unsafe tool use on service 176 can harm the live billing API.
TCK-177,tools,Change 177 rejects dangerous tool calls in the production executor.
TCK-178,tools,CloudWatch fired because tool call 178 repeated more than three times.
TCK-179,tools,The executor selected an unsafe tool for production task 179.
TCK-180,tools,Guardrail policy 180 must log and reject identical production tool calls.
TCK-181,tools,Live API tool retries on incident 181 were blocked by production safety rules.
TCK-182,tools,Production guardrails blocked an unsafe tool call on job 182.
TCK-183,tools,Log every tool call in production run 183 before retrying the API.
TCK-184,tools,Unsafe tool use on service 184 can harm the live billing API.
TCK-185,tools,Change 185 rejects dangerous tool calls in the production executor.
TCK-186,tools,CloudWatch fired because tool call 186 repeated more than three times.
TCK-187,tools,The executor selected an unsafe tool for production task 187.
TCK-188,tools,Guardrail policy 188 must log and reject identical production tool calls.
TCK-189,tools,Live API tool retries on incident 189 were blocked by production safety rules.
TCK-190,tools,Production guardrails blocked an unsafe tool call on job 190.
TCK-191,tools,Log every tool call in production run 191 before retrying the API.
TCK-192,tools,Unsafe tool use on service 192 can harm the live billing API.
TCK-193,tools,Change 193 rejects dangerous tool calls in the production executor.
TCK-194,tools,CloudWatch fired because tool call 194 repeated more than three times.
TCK-195,tools,The executor selected an unsafe tool for production task 195.
TCK-196,tools,Guardrail policy 196 must log and reject identical production tool calls.
TCK-197,tools,Live API tool retries on incident 197 were blocked by production safety rules.
TCK-198,tools,Production guardrails blocked an unsafe tool call on job 198.
TCK-199,tools,Log every tool call in production run 199 before retrying the API.
TCK-200,tools,Unsafe tool use on service 200 can harm the live billing API.
TCK-201,tools,Change 201 rejects dangerous tool calls in the production executor.
TCK-202,tools,CloudWatch fired because tool call 202 repeated more than three times.
TCK-203,tools,The executor selected an unsafe tool for production task 203.
TCK-204,tools,Guardrail policy 204 must log and reject identical production tool calls.
TCK-205,tools,Live API tool retries on incident 205 were blocked by production safety rules.
TCK-206,tools,Production guardrails blocked an unsafe tool call on job 206.
TCK-207,tools,Log every tool call in production run 207 before retrying the API.
TCK-208,tools,Unsafe tool use on service 208 can harm the live billing API.
TCK-209,tools,Change 209 rejects dangerous tool calls in the production executor.
TCK-210,tools,CloudWatch fired because tool call 210 repeated more than three times.
TCK-211,tools,The executor selected an unsafe tool for production task 211.
TCK-212,tools,Guardrail policy 212 must log and reject identical production tool calls.
TCK-213,tools,Live API tool retries on incident 213 were blocked by production safety rules.
TCK-214,tools,Production guardrails blocked an unsafe tool call on job 214.
TCK-215,tools,Log every tool call in production run 215 before retrying the API.
TCK-216,tools,Unsafe tool use on service 216 can harm the live billing API.
TCK-217,tools,Change 217 rejects dangerous tool calls in the production executor.
TCK-218,tools,CloudWatch fired because tool call 218 repeated more than three times.
TCK-219,tools,The executor selected an unsafe tool for production task 219.
TCK-220,tools,Guardrail policy 220 must log and reject identical production tool calls.
